cluster	frame	face	box
0	171	0	[509, 76, 109, 142]
0	860	0	[512, 176, 117, 156]
0	652	0	[411, 77, 125, 174]
0	833	0	[285, 51, 119, 158]
0	435	0	[412, 38, 130, 155]
0	349	0	[308, 62, 168, 225]
0	1105	0	[220, 95, 110, 132]
0	193	0	[379, 55, 158, 203]
0	817	1	[126, 88, 109, 134]
0	595	0	[435, 63, 103, 134]
0	486	0	[470, 112, 236, 315]
0	376	0	[334, 89, 140, 181]
0	1158	0	[321, 71, 203, 271]
0	437	0	[363, 103, 149, 195]
0	623	0	[318, 144, 114, 133]
0	305	0	[345, 99, 164, 218]
0	1107	1	[229, 87, 121, 147]
0	815	0	[348, 76, 158, 203]
0	695	0	[375, 57, 170, 222]
0	890	0	[110, 150, 106, 144]
0	438	0	[375, 122, 157, 213]
0	668	0	[418, 61, 142, 178]
0	491	0	[347, 94, 147, 200]
0	306	0	[331, 84, 183, 251]
0	190	0	[349, 69, 162, 203]
0	837	0	[367, 71, 131, 173]
0	814	0	[339, 85, 154, 198]
0	149	0	[273, 72, 168, 217]
0	792	0	[410, 83, 119, 147]
0	187	0	[330, 65, 136, 180]
0	731	0	[330, 55, 126, 168]
0	477	0	[378, 114, 130, 157]
0	682	0	[313, 76, 131, 167]
0	307	0	[397, 83, 148, 201]
0	667	0	[396, 68, 154, 196]
0	802	1	[346, 90, 144, 183]
0	136	0	[271, 119, 220, 281]
0	514	0	[322, 43, 169, 226]
0	1109	0	[336, 63, 127, 159]
0	813	1	[327, 118, 155, 197]
0	478	0	[395, 83, 196, 245]
0	971	0	[315, 81, 195, 271]
0	515	0	[320, 67, 178, 233]
0	192	0	[376, 79, 159, 204]
0	444	0	[330, 81, 149, 198]
0	1018	0	[376, 74, 155, 214]
0	812	0	[323, 113, 159, 194]
0	395	1	[378, 119, 128, 158]
0	680	0	[359, 39, 144, 189]
0	516	0	[346, 57, 179, 247]
0	808	0	[338, 7, 259, 370]
0	138	0	[362, 103, 167, 207]
0	445	0	[282, 74, 150, 194]
1	675	0	[290, 59, 172, 225]
1	484	0	[195, 56, 135, 180]
1	833	1	[478, 1, 122, 145]
1	145	0	[310, 53, 216, 290]
1	602	0	[425, 34, 107, 158]
1	1007	0	[346, 10, 196, 275]
1	938	0	[308, 125, 146, 185]
1	1105	1	[524, 46, 151, 191]
1	231	0	[375, 78, 135, 176]
1	674	0	[323, 59, 221, 289]
1	485	0	[239, 74, 141, 175]
1	545	0	[416, 151, 155, 208]
1	459	0	[367, 50, 156, 219]
1	854	0	[345, 66, 105, 142]
1	661	0	[268, 88, 129, 167]
1	550	0	[385, 84, 141, 185]
1	1012	0	[298, 80, 169, 215]
1	1107	0	[548, 36, 157, 195]
1	596	0	[363, 86, 132, 170]
1	1160	0	[270, 41, 225, 307]
1	1024	0	[489, 76, 137, 177]
1	146	1	[283, 114, 107, 135]
1	585	0	[364, 66, 188, 250]
1	200	1	[319, 48, 138, 173]
1	1102	0	[413, 66, 106, 141]
1	597	0	[395, 61, 168, 218]
1	1137	0	[268, 115, 120, 160]
1	598	0	[380, 71, 173, 218]
1	333	0	[409, 40, 140, 197]
1	1113	0	[463, 82, 113, 152]
1	1159	0	[369, 23, 201, 278]
1	749	0	[586, 0, 123, 138]
1	605	0	[445, 3, 201, 267]
1	139	1	[211, 103, 118, 157]
1	631	0	[374, 116, 147, 173]
1	482	0	[215, 76, 131, 181]
1	580	0	[329, 104, 165, 215]
1	932	0	[450, 72, 102, 136]
1	604	0	[410, 111, 107, 134]
1	1103	0	[392, 76, 114, 148]
1	191	0	[282, 26, 220, 292]
1	884	1	[256, 103, 94, 151]
1	483	0	[240, 79, 133, 185]
1	142	0	[324, 44, 201, 269]
1	1138	0	[240, 130, 118, 157]
1	1115	0	[438, 97, 109, 133]
2	1034	0	[346, 32, 92, 133]
2	939	0	[368, 79, 172, 246]
2	171	1	[209, 103, 139, 192]
2	810	1	[106, 38, 109, 148]
2	336	1	[455, 79, 134, 164]
2	817	0	[523, 84, 95, 141]
2	795	0	[236, 80, 96, 137]
2	805	0	[374, 109, 155, 210]
2	440	0	[322, 99, 98, 148]
2	794	0	[225, 88, 97, 137]
2	779	0	[305, 84, 97, 144]
2	119	0	[322, 71, 200, 273]
2	441	0	[290, 122, 101, 142]
2	146	0	[599, 14, 120, 156]
2	79	0	[416, 20, 131, 169]
2	442	0	[252, 90, 97, 146]
2	859	0	[301, 93, 179, 240]
2	439	0	[313, 117, 176, 233]
2	209	0	[330, 48, 120, 168]
2	443	0	[265, 94, 96, 141]
2	428	0	[335, 130, 109, 155]
2	371	0	[295, 97, 173, 245]
2	809	1	[161, 121, 108, 136]
2	139	0	[533, 49, 114, 155]
2	956	0	[362, 52, 132, 187]
2	334	0	[471, 94, 143, 172]
2	120	0	[325, 83, 129, 174]
2	1149	0	[296, 70, 121, 162]
2	1164	1	[457, 92, 163, 193]
2	70	0	[383, 106, 109, 150]
2	373	0	[389, 92, 128, 162]
3	107	0	[415, 0, 148, 193]
3	170	0	[476, 44, 98, 153]
3	533	0	[387, 93, 133, 170]
3	135	0	[263, 72, 129, 182]
3	134	0	[276, 76, 118, 164]
3	195	0	[406, 42, 117, 161]
3	880	0	[304, 57, 140, 202]
3	108	0	[383, 70, 113, 159]
3	169	1	[478, 63, 96, 142]
3	513	0	[449, 67, 136, 183]
3	957	0	[313, 49, 133, 189]
3	504	0	[368, 82, 167, 217]
3	520	0	[295, 17, 165, 221]
4	594	0	[303, 57, 239, 307]
4	1010	1	[522, 77, 114, 137]
4	206	0	[329, 47, 148, 205]
4	135	1	[507, 43, 91, 164]
4	134	1	[505, 38, 94, 162]
4	997	2	[619, 311, 127, 165]
4	559	0	[348, 34, 231, 298]
4	1137	1	[531, 76, 86, 149]
4	749	1	[110, 54, 101, 154]
4	1138	1	[531, 62, 91, 164]
5	1083	0	[497, 97, 135, 181]
5	144	0	[329, 58, 149, 208]
5	804	0	[339, 68, 183, 252]
5	732	0	[377, 89, 107, 156]
5	329	0	[380, 75, 151, 195]
5	852	0	[307, 111, 142, 195]
5	103	0	[384, 56, 115, 153]
5	80	0	[511, 28, 96, 132]
5	105	0	[380, 44, 145, 188]
5	834	0	[359, 98, 152, 198]
6	832	0	[437, 144, 114, 157]
6	1024	1	[200, 51, 115, 155]
6	803	0	[363, 73, 156, 210]
6	296	0	[391, 68, 194, 274]
6	726	0	[331, 49, 170, 249]
6	809	0	[360, 70, 155, 216]
6	297	0	[320, 59, 180, 266]
6	725	0	[311, 74, 171, 223]
6	1164	0	[229, 127, 161, 209]
7	519	0	[319, 55, 202, 264]
7	662	0	[332, 51, 207, 274]
7	673	0	[349, 60, 177, 229]
7	672	0	[371, 120, 167, 196]
8	1129	0	[421, 134, 115, 150]
8	446	0	[390, 24, 104, 146]
8	880	1	[101, 204, 87, 136]
8	1180	0	[160, 77, 110, 157]
9	485	1	[614, 266, 103, 142]
9	200	0	[646, 244, 90, 133]
10	864	0	[359, 111, 167, 220]
10	970	0	[310, 67, 152, 206]
11	175	0	[263, 69, 131, 177]
